ID,Title,Authors,Source,Journal,Database,Type,Language,Publication year,Descriptor(s),Keyword(s),Publication Country,Fulltext URL, Abstract,Entry Date,Volume number,Issue number,DOI,ISSN,Accession number,PMCID
"biblio-1577682","Vivência de grupo de apoio em saúde mental na atenção primária: um relato de experiência/ Mental health support group in primary health care: an experience report/ Grupo de apoyo de salud mental en atención primaria: un informe de experiencia","Franco, Renato Soleiman; Sabino, Evellyn de Souza José; Barros, Alice Cioni de Toledo; Mesadri, Isadora Roberto; Santos, Maiara Raíssa dos; Borba, Nahuana Alves","Rev. Bras. Med. Fam. Comunidade (Online);19(46): e-3901, 20241804.","Rev. Bras. Med. Fam. Comunidade (Online)","LILACS","article","en","2024","Humanos; Saúde Mental; Saúde Pública; Atenção Primária à Saúde; Sistema Único de Saúde","Atención Primaria de Salud; Atenção Primária à Saúde; Grupos de autoajuda; Grupos de autoayuda.; Mental health; Primary Health Care; Public health; Salud mental; Salud pública; Saúde mental; Saúde pública; Self-help groups","BRASIL","https://rbmfc.org.br/rbmfc/article/view/3901/2003","Problema: Entre os desafios enfrentados na temática de transtornos mentais no Brasil, é pertinente destacar a escassez de recursos e serviços, sua integração e o estigma em torno da doença mental. Apesar das dificuldades, alguns progressos significativos estão sendo inseridos nesse cuidado, como é o exemplo das intervenções em grupo na atenção básica. Método: Este relato de experiência descreve e analisa a implementação de um grupo terapêutico em uma Unidade Básica de Saúde para contribuir com o enriquecimento da intervenção coletiva em pacientes com queixas de saúde mental. A proposta foi trabalhar em conjunto com pacientes com queixa de ansiedade ou depressão após analisar a grande demanda da população adscrita na área por esse cuidado. Resultados: Após dois meses de encontros semanais, foi possível ir além das práticas convencionais oferecidas nos grupos, proporcionando às equipes de saúde a oportunidade de refletir sobre alternativas para promover mudanças nas formas de atenção à saúde mental. Conclusão: Além de estimular a troca de saberes entre universitários, profissionais e comunidade, a implementação de grupos terapêuticos se mostrou promissora no cuidado aos transtornos mentais e como forma de reabilitação psicossocial na atenção básica.",20241102,19,46,10.5712/rbmfc19(46)3901,2179-7994,,
"mdl-39699366","Recommendations for guidelines for promoting mental health in the workplace: an umbrella review.","Pinhatti, Evelin Daiane Gabriel; Nascimento, Amanda Salles Margatho do; Machado, Regina Celia Bueno Rezende; Pimenta, Rosangela Aparecida; Jaques, André Estevam; Haddad, Maria do Carmo Fernandez Lourenço","Rev Bras Enferm;77(6): e20240086, 2024. ","Rev Bras Enferm","MEDLINE","article","en","2024","Saúde Mental; Local de Trabalho; Humanos; Local de Trabalho/normas; Local de Trabalho/psicologia; Saúde Mental/normas; Promoção da Saúde/métodos; Promoção da Saúde/normas; Saúde Ocupacional/normas; Guias como Assunto","","BRASIL","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11654520","OBJECTIVES: to summarize the recommendations of guidelines for promoting mental health in the workplace. METHODS: an umbrella review, according to Joanna Briggs Institute and Preferred Reporting Items for Systematic reviews and Meta-Analyses methodological assumptions. Data collection was carried out in January 2021 and updated in July 2023 in the American Psychological Association, Cochrane Library, EMBASE, National Library of Medicine, and Scopus databases. Systematic reviews that assessed guidelines with recommendations for mental health care for workers were included. PROSPERO registration CRD42023461845. RESULTS: four systematic reviews published between 2015 and 2018 were identified. The abstracts highlighted actions that facilitate and inhibit the recommendations as well as three categories of intervention: primary prevention - worker protection; secondary prevention - promoting workers' mental health; and tertiary prevention - supporting, monitoring and rehabilitating workers upon returning to work. CONCLUSIONS: the interventions are based on prevention, promotion and early recognition, support and rehabilitation of mental health problems.",20241219,77,6,10.1590/0034-7167-2024-0086,1984-0446,,
"biblio-1591583","Comportamento suicida entre universitários de minorias sexuais: estudo transversal/ Suicidal behavior among sexual minority college students: a cross-sectional study/ Comportamiento suicida entre estudiantes universitarios de minorías sexuales: estudio transversal","Carrijo, Marcos Vítor Naves; Pinheiro Filho, Paulo Goveia; Gomes, Letícia Pinho","J. Health NPEPS;v. 9(n. 2): [e13200], 20241201.","J. Health NPEPS","LILACS","article","pt","2024","Serviços de Saúde para Estudantes; Estudantes; Suicídio; Saúde Mental; Minorias Sexuais e de Gênero","Suicídio; Minorias Sexuais e de Gênero; Saúde Mental; Estudantes; Serviços de Saúde para Estudantes","BRASIL","http://dx.doi.org/10.30681/2526101013200","Objetivo: analisar a prevalência e os fatores associados ao comportamentosuicida entre universitários de minorias sexuais.Método: estudo transversal, analítico e quantitativo, realizado  em  uma  Instituição  de  Ensino  Superior  privada  do  Centro-Oeste  brasileiro, entre maio e julho de 2023. A coleta de dados utilizou um questionário sociodemográfico e o MINI módulo C para avaliação do comportamento suicida. Aplicou-se o teste de Qui-quadrado  de  Pearson  (X²)  para  verificar  associações  entre  variáveis  dependentes  e independentes,  adotando-se  nível  de  significância  p<0,05.Resultados: a  maioria  dos participantes era composta por mulheres,comcor de pele não branca (62,3%), solteiras (84,5%), praticantes de alguma religião (84,0%) e com vínculo empregatício (51,0%). Em relação  à  orientação  sexual,  8,9%  se  declararambissexuais,  4,3%  homossexuais  e  0,3% assexuais.    Homossexuais    e    assexuais    apresentaram    associação   estatisticamente significativa com   ideação   suicida   passiva   (p=0,019   e   p=0,004,   respectivamente), enquanto bissexuais mostraram associação com ideaçãosuicida passiva (p<0,001), ativa (p=0,004),   planejamento   (p<0,001)   e   tentativa   (p=0,004).Conclusão: verificou-secomportamento  suicida  entre  universitários  de  minorias  sexuais,  especialmente entre bissexuais.",20250407,v. 9,n. 2,10.30681/2526101013200,2526-1010,,
"mdl-39536221","The routine and mental health of hospitalized children with cancer: family perspectives.","Nunes, Isadora Musse; Duarte, Maria de Lourdes Custódio; Silva, Daniela Giotti da; D'Ávila, Alessandra Porto; Pavani, Fabiane Machado; Trindade, Kimberly Dos Reis","Rev Gaucha Enferm;45: e20230238, 2024. ","Rev Gaucha Enferm","MEDLINE","article","en","2024","Criança Hospitalizada; Família; Saúde Mental; Neoplasias; Pesquisa Qualitativa; Humanos; Neoplasias/psicologia; Criança; Criança Hospitalizada/psicologia; Família/psicologia; Masculino; Feminino; Adolescente; Adulto; Hospitalização; Pré-Escolar","","BRASIL","https://dx.doi.org/10.1590/1983-1447.2024.20230238.en","OBJECTIVE: To understand the routine and implications on the mental health of hospitalized children with cancer, from the perspective of family members. METHOD: Qualitative research, carried out with 11 relatives of children hospitalized in an oncopediatric inpatient unit, during the month of September 2022. The information was produced through semi-structured interviews and was analyzed according to Minayo's Thematic Analysis, emerging two categories: ""The child's routine during hospitalization"" and ""The child's mental health during hospitalization"". RESULTS: In the child's routine, participants noticed changes caused by the hospital environment that do not coincide with family dynamics. However, the presence of the multidisciplinary team mitigates the strangeness experienced in this process. Regarding mental health, the feelings experienced by these children included anger, longing, and sadness, resulting in behaviors such as discouragement and aggression. These repercussions are associated with the child's confused understanding of their illness. FINAL CONSIDERATIONS: The perspectives of family members contributed for a reflection on the health and illness process of pediatric patients undergoing cancer treatments, as they play an essential role in care, closely monitoring everything that comes to pass in the daily lives of these children in the hospital environment.",20241113,45,,10.1590/1983-1447.2024.20230238.en,1983-1447,,
"mdl-39504060","[Organizational roles, work-family conflict, job satisfaction, and mental health of teachers regarding affective organizational commitment]./ Papéis na organização, conflito trabalho-família, satisfação laboral e saúde mental de docentes em relação com o comprometimento organizacional afetivo.","Carvalho, Virgínia D","Cad Saude Publica;40(10): e00143723, 2024. ","Cad Saude Publica","MEDLINE","article","pt","2024","Satisfação no Emprego; Saúde Mental; Professores Escolares; Humanos; Feminino; Masculino; Estudos Transversais; Adulto; Inquéritos e Questionários; Professores Escolares/psicologia; Pessoa de Meia-Idade; Local de Trabalho/psicologia; Estresse Ocupacional/psicologia; Estresse Psicológico/psicologia; Brasil; Adulto Jovem","","BRASIL","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11540267","To examine multiple relations between organizational roles, work-family conflict, job satisfaction, mental health, and affective organizational commitment among basic education teachers, a cross-sectional study was conducted with a sample of 438 respondents, to whom the Scale for the Assessment of Psychosocial Stressors in the Workplace (EAEPCL, acronym in Portuguese), the General Job Satisfaction Scale, the General Health Questionnaire (GHQ-12) and the Reduced Affective Organizational Commitment Scale (ECOA, acronym in Portuguese) were applied. Data were analyzed by structural equation modeling and the estimated measurement model indicated convergent and discriminant validity, as well as reliability regarding the latent variables used. Direct effects of conflict and role ambiguity on job satisfaction, common mental disorders (CMD) and affective organizational commitment were observed, as well as indirect effects on the latter two mediated by job satisfaction. As for role overload, its direct effects occurred only in relation to job satisfaction, the latter mediating the effect of the former on CMD and affective commitment, whereas work-family conflict mediated the effect of role overload on CMD. These results highlight the harmful effects of role stressors and job (dis)satisfaction on the mental health of teachers by making them more vulnerable to developing CMD and indicate how these can affect results of interest to the institutions studied, such as affective commitment in school organizations.",20241106,40,10,10.1590/0102-311XPT143723,1678-4464,,
"mdl-39319893","Promoting mental health in the workplace: web software development and validation.","Pinhatti, Evelin Daiane Gabriel; Machado, Regina Celia Bueno Rezende; Pimenta, Rosangela Aparecida; Jaques, André Estevam; Haddad, Maria do Carmo Fernandez Lourenço","Rev Lat Am Enfermagem;32: e4353, 2024. ","Rev Lat Am Enfermagem","MEDLINE","article","en","2024","Promoção da Saúde; Saúde Mental; Local de Trabalho; Humanos; Local de Trabalho/psicologia; Promoção da Saúde/métodos; Design de Software; Saúde Ocupacional/normas; Internet; Software; Validação de Programas de Computador","","BRASIL","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11421523","OBJECTIVE: to develop and validate the content and technical aspects of a web software program for promoting mental health in the workplace. METHOD: applied methodological study and technological development, carried out in three stages: 1) Umbrella review development; 2) Web software development; 3) Content and technical validation carried out by 14 judges. The data was submitted to descriptive statistical analysis and calculation of the content validity index. RESULTS: based on the guidelines' recommendations, information was defined and extracted in order to develop the web software consisting of the following dimensions: mental health education, support among coworkers, promotion strategies and mental health self-assessment. For the technical development, the objectives, general functions and technological infrastructure were defined. After development and functional testing, the version was made available for content and technical validation by judges. The overall content validity index was 0.98 and for the technical aspects it was 0.97. CONCLUSION: the agreement between the judges in relation to the content and technical aspects, as well as the suggestions incorporated, demonstrated the potential for using web software to promote mental health in the workplace.",20240925,32,,10.1590/1518-8345.7181.4353,1518-8345,,
"biblio-1592711","Adaptación psicológica y estrategias de afrontamiento en estudiantes universitarios durante la pandemia covid-19/ Ajustamento psicológico e estratégias de coping em estudantes universitários durante a pandemia da covid-19/ Psychological Adjustment and Coping Strategies in College Students During the Covid-19 Pandemic","Simões, Margarida; Sani, Ana Isabel; Correia, Elisete; Monteiro, Ana Paula; Da Conceição Azevedo, Maria; Cunha, Pedro; Mascoli, Luísa Maria; Carvalho Relva, Inês","Av. psicol. latinoam;42(3): 1-15, 20240930.","Av. psicol. latinoam","LILACS","article","pt","2024","Humanos; Pesquisa; Serviços de Saúde para Estudantes; Estudantes; Universidades; Adaptação Psicológica; Saúde Mental; Transtornos Dissociativos; COVID-19; Capacidades de Enfrentamento; Estilo de Vida","adaptación psicológica; afrontamiento; ajustamento psicológico; college students; coping; coping; covid-19; covid-19; covid-19; estudantes universitários; estudiantes universitarios; psychological adjustment","COLÔMBIA","https://revistas.urosario.edu.co/index.php/apl/article/view/10147/13169","A  pandemia  provocada  pela  covid-19  levou  os  es-tudantes  universitários  a  enfrentarem  uma  situação  de  grandes  exigências  e  necessidade  de  adaptação  a  um  novo  estilo  de  vida  pessoal  e  académica.  Para  explorar o ajustamento psicológico nesta população específica, a presente investigação teve como objetivo analisar a relação entre sintomatologia psicopatológica e estratégias de coping numa amostra de 636 estudantes universitários portugueses, maioritariamente do sexo feminino (68.1 %), com uma média de idades de 22.2 anos  (DP  =  5.98).  Foram  aplicados  um  questionário  sociodemográfico, o inventário de sintomas psicopato-lógicos (BSI) e o questionário de estratégias de coping. Os principais resultados mostram que os indivíduos do sexo feminino apresentam valores mais elevados em todas as dimensões do BSI. Verificaram-se, ainda, associações entre as estratégias de fuga/evitamento e a sintomato-logia  psicopatológica.  Este  estudo  tem  implicações  importantes na abordagem dos serviços de saúde das universidades, nomeadamente ao nível da prevenção de saúde mental e intervenção junto da população-alvo",20250423,42,3,10.12804/revistas.urosario.edu.co/apl/a.10147,1794-4724,,
"biblio-1577552","Assistentes Virtuais Inteligentes e saúde mental: debates regulatórios no Brasil/ Intelligent Virtual Assistants and mental health: regulatory debates in Brazil/ Asistentes Virtuales Inteligentes y salud mental: debates regulatorios en Brasil","Bentes, Anna; Sanches, Danielle; Fonseca, Paulo","RECIIS (Online);18(3)jul.-set.  2024.","RECIIS (Online)","colecionaSUS","article","pt","2024","Humanos; Fatores Socioeconômicos; Inteligência Artificial; Desenvolvimento Tecnológico; Saúde Mental; Meios de Comunicação; Legislação como Assunto; Tecnologia; Algoritmos; Comunicação; Congressos como Assunto; Computadores de Mão; Acesso à Internet; Internet das Coisas","Artificial Intelligence; Asistentes Virtuales Inteligentes; Assistentes Virtuais Inteligentes; Inteligencia Artificial; Inteligência Artificial; Intelligent Virtual Assistants; Mental health; Regulación; Regulation; Regulação; Salud mental; Saúde mental","BRASIL","https://fi-admin.bvsalud.org/document/view/ru5uf","A inserção dos Assistentes Virtuais Inteligentes na vida cotidiana representa um marco na história da comunicação entre humanos e máquinas. Devido às suas características interativas, estes estão sendo cada vez mais apropriados e desenvolvidos para fins de cuidado, especialmente no âmbito da saúde mental. Este artigo visa compreender se e como o debate regulatório brasileiro oferece instrumentos para lidar com os desafios e as preocupações desses sistemas de Inteligência Artificial em relação à saúde mental. A partir de uma análise documental, mapeamos exemplos de aplicação dos Assistentes Virtuais Inteligentes em saúde mental, a fim de identificar riscos a direitos dos usuários e avaliar, na legislação brasileira vigente e em discussão, se há proteção suficiente para lidar com eles. Por meio de uma abordagem crítica, salientamos a insuficiência da legislação brasileira atual e a necessidade de ampliação do debate sobre como equilibrar possíveis riscos e benefícios dessas tecnologias.",20241031,18,3,10.29397/reciis.v18i3.4310,1981-6278,,
"biblio-1572599","Cuidados-em-interação: práticas, saberes e reflexividade na saúde/ Care-in-interaction: practices, knowledge, and reflexivity in health/ Soin-en-interaction: pratiques, savoirs et réflexivité en santé","Lisboa, Marcia Rodrigues; Binet, Michel","RECIIS (Online);18(3)jul.-set.  2024.","RECIIS (Online)","LILACS","article","pt","2024","Saúde Mental; Etnologia; Inteligência Artificial; Metodologia como Assunto; Comportamento de Massa","Analyse conversationnelle ethnométho-dologique; Análise da conversa etnometodológica; Care-in-interaction; Communication homme-ordinateur; Comunicação humano-máquina; Cuidado-em-interação; Ethnomethodological conversation analysis; Fala-e-corpo-em-interação; Fenomenologia; Human-machine communication; Parole-et-corps-en-interaction; Phenomenology; Phénoménologie; Soin-en-interaction; Talk-and-body-in-interaction","BRASIL","https://fi-admin.bvsalud.org/document/view/8x8eq","",20241015,18,3,10.29397/reciis.v18i3.4619,1981-6278,,
"mdl-39140548","Mental health care measures and innovations to cope with COVID-19: an integrative review./ Arranjos e inovações para o cuidado em saúde mental no enfrentamento da COVID-19: revisão integrativa.","Silva, Amanda Seraphico Carvalho Pereira da; Furtado, Lumena Almeida Castro; Tofani, Luís Fernando Nogueira; Bigal, André Luiz; Bragagnolo, Larissa Maria; Vieira, Amanda da Cruz Santos; Lima, Carolina Loyelo; Oliveira, Letícia Bucioli; Chioro, Arthur","Cien Saude Colet;29(8): e06532023, 2024 Aug. ","Cien Saude Colet","MEDLINE","article","pt","2024","COVID-19; Serviços de Saúde Mental; Saúde Mental; COVID-19/epidemiologia; Humanos; Brasil/epidemiologia; Serviços de Saúde Mental/organização & administração; Atenção à Saúde/organização & administração; Acessibilidade aos Serviços de Saúde; Saúde Pública","","BRASIL","https://dx.doi.org/10.1590/1413-81232024298.06532023","This integrative review aims to identify the mental health care measures that were produced during the COVID-19 pandemic. This research was conducted on three databases (SciELO, PubMed, and LILACS) with the following descriptors in Portuguese, English, and Spanish: ""SAÚDE MENTAL"" or ""SALUD MENTAL"" or ""MENTAL HEALTH"" AND ""COVID-19"" from 2020 to 2021. In total, 3,451 articles were found, 43 of which were analyzed. Most measures were digital, stemmed from public institutions, focused on the local perspective, and were integrated with the public health care system. This study discusses the models of care in mental health based on measures to cope with the COVID-19 pandemic. It also discusses the Brazilian health care system, reiterating its resilience. In conclusion, digital measures occurred most often. This study suggest the evaluation of the accessibility of this mental health care model for most vulnerable groups. Finally, this research reinforces the importance of the Brazilian health care system for public health and access to information to cope with the COVID-19 pandemic.",20240814,29,8,10.1590/1413-81232024298.06532023,1678-4561,,
